                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                 1.2023,                0.88336,                 1.3442,                0.86604,                0.69015,                0.74026,                0.52887,                 1.6844,                 0.8026,                 1.2014,               0.005347,               0.005347,               0.005347
                    143,                 1.2123,                0.89901,                 1.3464,                0.87176,                 0.6892,                0.74196,                0.52961,                 1.6825,                0.79921,                 1.1986,               0.005314,               0.005314,               0.005314
                    144,                 1.1844,                0.85666,                 1.3401,                0.87772,                0.69228,                0.74436,                0.53114,                 1.6796,                0.79668,                 1.1958,               0.005281,               0.005281,               0.005281
                    145,                 1.1865,                0.86444,                 1.3296,                0.88504,                0.69181,                 0.7436,                0.53201,                 1.6775,                0.79499,                 1.1937,               0.005248,               0.005248,               0.005248
                    146,                 1.1864,                0.85991,                 1.3316,                0.88523,                0.69092,                0.74368,                0.53334,                 1.6752,                0.79269,                 1.1899,               0.005215,               0.005215,               0.005215
                    147,                 1.1889,                0.86099,                 1.3295,                 0.8892,                0.68646,                0.74496,                0.53386,                 1.6744,                0.79128,                 1.1874,               0.005182,               0.005182,               0.005182
                    148,                 1.1816,                0.85663,                 1.3216,                0.88881,                0.68955,                0.74567,                0.53474,                 1.6728,                0.78953,                 1.1867,               0.005149,               0.005149,               0.005149
                    149,                 1.1879,                0.85053,                 1.3181,                0.88747,                0.69257,                0.74673,                0.53638,                 1.6709,                0.78799,                 1.1865,               0.005116,               0.005116,               0.005116
                    150,                 1.1804,                0.84853,                  1.317,                0.88808,                0.69451,                0.74756,                0.53651,                 1.6682,                0.78497,                 1.1831,               0.005083,               0.005083,               0.005083
                    151,                 1.1644,                0.83329,                 1.3089,                0.89201,                0.69491,                0.74734,                0.53793,                 1.6662,                 0.7837,                 1.1797,                0.00505,                0.00505,                0.00505
                    152,                 1.1754,                0.84306,                 1.3151,                0.89176,                0.69551,                0.74819,                0.53907,                 1.6653,                0.78249,                 1.1775,               0.005017,               0.005017,               0.005017
                    153,                 1.1633,                0.83111,                 1.3198,                0.89765,                0.69361,                0.74951,                0.54064,                 1.6645,                0.78035,                 1.1761,               0.004984,               0.004984,               0.004984
                    154,                  1.169,                0.83084,                 1.3092,                0.89843,                0.69187,                0.74936,                0.54135,                 1.6642,                0.77983,                 1.1746,               0.004951,               0.004951,               0.004951
