                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.81964,                0.83434,                 1.3186,                0.92168,                0.89297,                0.93527,                0.81459,                 0.7583,                0.60471,                 1.2413,               0.006172,               0.006172,               0.006172
                    118,                0.80815,                0.81679,                 1.3073,                0.92569,                0.89134,                0.93594,                0.81608,                0.75404,                0.60133,                 1.2384,               0.006139,               0.006139,               0.006139
                    119,                0.81822,                0.81725,                 1.3153,                0.93811,                0.88877,                0.93639,                0.81916,                0.75015,                0.59961,                 1.2351,               0.006106,               0.006106,               0.006106
                    120,                0.80468,                0.81876,                 1.3036,                0.92943,                0.89568,                0.93752,                0.82064,                0.74682,                0.59256,                  1.233,               0.006073,               0.006073,               0.006073
                    121,                  0.808,                0.81035,                 1.3038,                0.93431,                0.89365,                0.93897,                0.82444,                0.74086,                 0.5906,                 1.2272,                0.00604,                0.00604,                0.00604
                    122,                 0.7942,                0.80077,                  1.293,                0.93887,                0.89459,                0.93905,                0.82396,                0.73632,                0.58798,                 1.2218,               0.006007,               0.006007,               0.006007
                    123,                0.80017,                0.80586,                 1.2958,                0.93716,                0.89797,                0.93891,                0.82571,                0.73262,                0.58758,                 1.2188,               0.005974,               0.005974,               0.005974
                    124,                0.78533,                0.78461,                 1.2838,                0.93734,                 0.8994,                0.93901,                0.82664,                0.73069,                0.58632,                 1.2178,               0.005941,               0.005941,               0.005941
                    125,                0.78224,                0.77762,                 1.2829,                 0.9374,                0.89783,                0.94011,                0.82792,                0.72733,                0.58594,                 1.2149,               0.005908,               0.005908,               0.005908
                    126,                0.77896,                0.77453,                 1.2802,                0.93851,                0.89969,                0.94014,                0.82874,                 0.7245,                0.58641,                 1.2123,               0.005875,               0.005875,               0.005875
                    127,                0.77411,                0.77176,                 1.2789,                 0.9338,                 0.8999,                 0.9409,                0.82932,                0.72207,                0.58582,                 1.2098,               0.005842,               0.005842,               0.005842
                    128,                0.77742,                0.77415,                 1.2774,                0.93236,                0.90418,                0.94183,                0.83229,                0.71917,                0.58287,                 1.2081,               0.005809,               0.005809,               0.005809
                    129,                0.77313,                0.77419,                 1.2749,                0.92449,                0.91204,                0.94202,                0.83306,                0.71737,                 0.5809,                  1.207,               0.005776,               0.005776,               0.005776
                    130,                0.76796,                0.75975,                 1.2717,                0.93593,                0.90675,                0.94255,                0.83543,                  0.715,                0.57706,                 1.2054,               0.005743,               0.005743,               0.005743
                    131,                0.75749,                0.75193,                 1.2614,                0.93886,                0.90475,                0.94308,                0.83682,                0.71248,                0.57532,                 1.2039,                0.00571,                0.00571,                0.00571
                    132,                0.75457,                0.74997,                 1.2633,                0.94278,                0.90052,                0.94368,                0.83729,                0.70971,                0.57315,                 1.2022,               0.005677,               0.005677,               0.005677
                    133,                0.75773,                0.75124,                 1.2618,                0.93772,                0.90146,                0.94339,                0.83845,                 0.7081,                0.57331,                 1.2013,               0.005644,               0.005644,               0.005644
                    134,                0.74578,                0.74616,                 1.2517,                0.93541,                0.90594,                0.94341,                0.83907,                0.70788,                0.57169,                 1.2017,               0.005611,               0.005611,               0.005611
                    135,                0.74504,                 0.7353,                  1.253,                0.93905,                0.90566,                0.94415,                0.83929,                0.70412,                0.57115,                 1.1983,               0.005578,               0.005578,               0.005578
                    136,                0.73717,                0.73472,                 1.2451,                0.94017,                0.90488,                0.94328,                0.83935,                0.70286,                0.57126,                 1.1975,               0.005545,               0.005545,               0.005545
                    137,                0.74245,                0.73099,                 1.2457,                0.93633,                0.90855,                0.94317,                0.84134,                0.70018,                 0.5719,                 1.1952,               0.005512,               0.005512,               0.005512
                    138,                0.73153,                 0.7117,                 1.2396,                0.93631,                0.90876,                0.94287,                0.84103,                0.69744,                 0.5717,                  1.193,               0.005479,               0.005479,               0.005479
                    139,                0.73135,                0.72101,                 1.2388,                0.93549,                0.90952,                0.94291,                0.84236,                0.69556,                0.56988,                 1.1915,               0.005446,               0.005446,               0.005446
                    140,                0.72681,                0.71973,                 1.2383,                0.93809,                 0.9086,                0.94269,                0.84333,                0.69259,                0.57027,                 1.1881,               0.005413,               0.005413,               0.005413
                    141,                0.72213,                0.70935,                 1.2321,                0.93923,                0.90652,                0.94256,                 0.8435,                0.69072,                0.56936,                 1.1869,                0.00538,                0.00538,                0.00538
                    142,                0.72304,                0.71492,                 1.2327,                0.94012,                0.90691,                0.94244,                0.84404,                0.69022,                0.56891,                 1.1868,               0.005347,               0.005347,               0.005347
                    143,                0.72278,                0.72113,                 1.2365,                0.94065,                0.90687,                0.94284,                 0.8452,                0.68869,                0.56768,                 1.1854,               0.005314,               0.005314,               0.005314
                    144,                0.70772,                0.69186,                 1.2215,                0.94089,                0.90589,                0.94351,                0.84783,                0.68735,                0.56748,                 1.1841,               0.005281,               0.005281,               0.005281
                    145,                0.71319,                0.69676,                 1.2217,                0.94087,                0.90579,                0.94358,                0.84827,                0.68664,                  0.566,                 1.1838,               0.005248,               0.005248,               0.005248
                    146,                0.70549,                0.69025,                 1.2224,                0.93997,                 0.9062,                0.94387,                0.84832,                0.68491,                0.56446,                 1.1823,               0.005215,               0.005215,               0.005215
                    147,                0.70545,                0.68635,                 1.2211,                   0.94,                0.90682,                0.94368,                0.84887,                0.68382,                0.56273,                 1.1816,               0.005182,               0.005182,               0.005182
                    148,                0.70036,                0.68847,                 1.2138,                0.94017,                0.90713,                0.94381,                 0.8485,                0.68265,                0.56181,                 1.1806,               0.005149,               0.005149,               0.005149
                    149,                 0.7006,                0.68042,                 1.2158,                0.94111,                0.90932,                0.94506,                0.84936,                0.68121,                0.56093,                 1.1795,               0.005116,               0.005116,               0.005116
                    150,                0.69663,                0.68173,                 1.2123,                0.93892,                0.90951,                0.94513,                0.85045,                0.67969,                0.55844,                 1.1782,               0.005083,               0.005083,               0.005083
                    151,                0.69175,                0.67597,                 1.2068,                0.93853,                0.90939,                0.94485,                 0.8513,                0.67896,                0.55722,                 1.1779,                0.00505,                0.00505,                0.00505
                    152,                0.69597,                0.66796,                 1.2083,                0.93924,                0.90902,                0.94447,                0.85224,                 0.6785,                 0.5558,                 1.1777,               0.005017,               0.005017,               0.005017
                    153,                0.68944,                0.66669,                 1.2049,                0.93892,                0.90883,                0.94508,                0.85079,                 0.6777,                0.55609,                 1.1769,               0.004984,               0.004984,               0.004984
                    154,                0.68663,                0.66022,                 1.2034,                0.93948,                0.90912,                0.94538,                0.85158,                 0.6766,                 0.5552,                 1.1764,               0.004951,               0.004951,               0.004951
                    155,                 0.6825,                0.66479,                 1.2003,                0.93901,                0.90776,                0.94484,                0.85342,                0.67599,                0.55424,                 1.1763,               0.004918,               0.004918,               0.004918
                    156,                0.68096,                0.66122,                 1.1957,                0.93875,                0.90801,                0.94509,                0.85385,                0.67551,                0.55288,                 1.1763,               0.004885,               0.004885,               0.004885
