               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 105,              1.1831,              1.3558,              1.4127,             0.83961,              0.8076,             0.86526,             0.65922,             0.99464,             0.82127,               1.344,            0.006568,            0.006568,            0.006568
                 106,              1.1781,              1.3434,              1.4002,             0.83734,             0.79476,             0.85878,             0.65712,             0.98761,             0.80869,              1.3359,            0.006535,            0.006535,            0.006535
                 107,              1.1624,              1.3214,              1.3902,             0.83025,             0.80001,             0.86029,             0.65949,             0.98744,             0.80159,              1.3368,            0.006502,            0.006502,            0.006502
                 108,              1.1602,              1.3274,              1.3968,             0.82932,             0.81126,             0.87174,             0.66985,              0.9827,             0.79267,              1.3333,            0.006469,            0.006469,            0.006469
                 109,              1.1616,              1.3079,              1.3871,             0.81864,             0.81424,             0.87237,             0.67059,              0.9858,             0.78813,              1.3346,            0.006436,            0.006436,            0.006436
                 110,              1.1577,              1.2954,              1.3829,             0.82793,             0.80447,              0.8677,             0.67269,             0.97641,             0.77747,              1.3249,            0.006403,            0.006403,            0.006403
                 111,              1.1398,              1.2772,              1.3718,             0.81382,             0.82056,             0.87367,             0.67784,             0.96848,             0.77025,              1.3197,             0.00637,             0.00637,             0.00637
                 112,              1.1503,              1.2969,              1.3792,             0.83517,             0.81109,             0.87536,             0.68007,             0.96103,             0.76458,              1.3102,            0.006337,            0.006337,            0.006337
                 113,              1.1382,              1.2976,              1.3764,             0.84981,             0.80025,             0.88182,             0.68624,             0.95469,             0.75568,              1.3046,            0.006304,            0.006304,            0.006304
                 114,              1.1368,              1.2812,              1.3738,             0.86201,             0.81078,             0.88787,             0.68943,             0.95205,             0.75342,              1.3011,            0.006271,            0.006271,            0.006271
                 115,              1.1392,              1.2863,              1.3785,             0.86113,             0.81257,             0.88954,             0.69481,              0.9456,             0.75079,              1.2975,            0.006238,            0.006238,            0.006238
                 116,              1.1481,              1.3063,               1.385,             0.85592,             0.82776,             0.88959,             0.70127,             0.93706,             0.74982,              1.2894,            0.006205,            0.006205,            0.006205
                 117,              1.1212,              1.2739,              1.3587,             0.84292,             0.84414,             0.89062,             0.70101,             0.93366,             0.74526,              1.2865,            0.006172,            0.006172,            0.006172
                 118,              1.1277,              1.2602,              1.3607,             0.84876,             0.84367,             0.88917,             0.70121,             0.92777,             0.73632,              1.2814,            0.006139,            0.006139,            0.006139
                 119,              1.1128,              1.2267,               1.347,             0.86438,             0.83007,             0.88801,             0.69895,             0.92312,             0.73001,              1.2783,            0.006106,            0.006106,            0.006106
                 120,              1.1206,              1.2514,              1.3522,             0.85002,             0.84543,             0.89051,              0.7034,             0.91791,             0.72475,              1.2737,            0.006073,            0.006073,            0.006073
                 121,              1.1127,               1.238,              1.3517,              0.8521,             0.83903,             0.89176,             0.70532,             0.91695,             0.72272,              1.2732,             0.00604,             0.00604,             0.00604
                 122,              1.1128,              1.2369,              1.3526,             0.85673,             0.83794,             0.89384,             0.70613,              0.9158,             0.71585,              1.2732,            0.006007,            0.006007,            0.006007
                 123,              1.1047,              1.2222,              1.3454,             0.86351,             0.83429,             0.89459,             0.70981,             0.91184,              0.7118,              1.2689,            0.005974,            0.005974,            0.005974
                 124,              1.1066,              1.2392,              1.3503,             0.88019,             0.82179,             0.89694,             0.71461,             0.90466,             0.70922,              1.2617,            0.005941,            0.005941,            0.005941
                 125,              1.1015,              1.2238,              1.3399,             0.86883,              0.8449,             0.90166,             0.71912,             0.90049,             0.70364,               1.258,            0.005908,            0.005908,            0.005908
                 126,              1.0839,              1.2021,              1.3282,             0.86787,             0.85109,             0.90203,             0.71765,             0.89574,             0.70236,              1.2555,            0.005875,            0.005875,            0.005875
                 127,              1.0923,                1.22,              1.3331,             0.87475,             0.84829,             0.90356,             0.72191,              0.8928,              0.6977,              1.2527,            0.005842,            0.005842,            0.005842
                 128,              1.0812,              1.1873,              1.3271,             0.86506,             0.85483,             0.90658,             0.72317,             0.88847,             0.69211,               1.252,            0.005809,            0.005809,            0.005809
                 129,              1.0858,              1.1935,              1.3313,              0.8829,             0.83807,             0.90742,             0.72421,             0.88411,              0.6877,              1.2501,            0.005776,            0.005776,            0.005776
                 130,              1.0843,              1.2019,              1.3296,             0.87927,             0.84671,             0.91014,             0.72736,             0.87733,             0.68371,              1.2448,            0.005743,            0.005743,            0.005743
                 131,              1.0903,               1.213,              1.3339,             0.88577,             0.85184,             0.91179,             0.73142,             0.87741,             0.67971,              1.2431,             0.00571,             0.00571,             0.00571
                 132,              1.0804,              1.1846,              1.3328,             0.88915,             0.84783,             0.91195,             0.73375,             0.87514,             0.67633,              1.2414,            0.005677,            0.005677,            0.005677
