                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.0041,                0.80909,                 1.2106,                0.88453,                0.77357,                 0.8616,                0.67398,                0.95398,                0.64888,                 1.1747,                 0.0067,                 0.0067,                 0.0067
                    102,                0.98842,                 0.7923,                 1.2055,                0.86393,                0.79341,                0.86408,                0.67927,                0.95383,                0.63695,                 1.1769,               0.006667,               0.006667,               0.006667
                    103,                0.98792,                0.78879,                 1.2054,                0.89961,                0.77909,                0.87128,                0.68492,                0.94976,                0.63073,                 1.1754,               0.006634,               0.006634,               0.006634
                    104,                0.98457,                0.78861,                  1.198,                0.89346,                0.78563,                0.87455,                0.68836,                0.94336,                0.62598,                 1.1727,               0.006601,               0.006601,               0.006601
                    105,                  0.968,                0.76518,                 1.1904,                 0.8576,                0.81998,                0.88124,                 0.6977,                0.93424,                0.61529,                 1.1665,               0.006568,               0.006568,               0.006568
                    106,                0.96728,                0.76552,                  1.196,                0.88457,                0.80829,                0.88212,                0.69848,                0.92337,                0.61641,                 1.1593,               0.006535,               0.006535,               0.006535
                    107,                0.96208,                0.76129,                 1.1895,                0.87506,                 0.8173,                0.88321,                0.70186,                0.92018,                 0.6125,                 1.1578,               0.006502,               0.006502,               0.006502
                    108,                0.95905,                0.75958,                 1.1868,                0.88975,                0.81537,                0.88003,                0.70477,                0.91541,                 0.6085,                  1.155,               0.006469,               0.006469,               0.006469
                    109,                0.95678,                0.75618,                 1.1847,                0.89952,                0.81062,                0.88247,                0.70406,                0.90873,                0.60819,                 1.1508,               0.006436,               0.006436,               0.006436
                    110,                0.95207,                0.75434,                 1.1754,                0.89976,                0.80854,                0.88701,                0.70679,                0.91015,                0.60392,                 1.1493,               0.006403,               0.006403,               0.006403
                    111,                0.95316,                0.75436,                 1.1807,                0.89617,                0.82057,                0.88575,                0.70995,                0.90646,                0.59621,                 1.1479,                0.00637,                0.00637,                0.00637
                    112,                0.94503,                0.73695,                 1.1736,                0.90236,                 0.8155,                0.88864,                0.70967,                0.90612,                0.59442,                 1.1478,               0.006337,               0.006337,               0.006337
                    113,                0.93668,                0.72804,                 1.1685,                0.89754,                0.81636,                0.88947,                0.71201,                0.90119,                0.59148,                 1.1463,               0.006304,               0.006304,               0.006304
                    114,                0.92282,                0.72776,                 1.1649,                0.87386,                0.83925,                0.88835,                0.71429,                0.89511,                0.59215,                 1.1427,               0.006271,               0.006271,               0.006271
                    115,                  0.922,                0.72741,                 1.1637,                0.87848,                0.83911,                0.89327,                 0.7158,                0.89177,                0.59051,                 1.1411,               0.006238,               0.006238,               0.006238
                    116,                0.91989,                0.71669,                 1.1605,                0.88731,                0.82857,                  0.894,                 0.7193,                0.88573,                0.58482,                 1.1368,               0.006205,               0.006205,               0.006205
                    117,                0.91823,                0.72526,                 1.1635,                0.91599,                0.80575,                0.89506,                0.72599,                 0.8813,                0.58021,                 1.1354,               0.006172,               0.006172,               0.006172
                    118,                 0.9165,                0.71613,                   1.16,                0.88146,                0.83622,                0.89597,                0.72703,                 0.8778,                0.57559,                 1.1345,               0.006139,               0.006139,               0.006139
                    119,                0.90943,                0.71127,                 1.1616,                0.88702,                0.84287,                0.89994,                0.72882,                0.87274,                0.57356,                   1.13,               0.006106,               0.006106,               0.006106
                    120,                0.90003,                  0.715,                 1.1531,                0.89663,                0.83733,                0.90135,                0.73189,                 0.8649,                0.56886,                 1.1246,               0.006073,               0.006073,               0.006073
                    121,                 0.8997,                0.70439,                 1.1539,                0.89207,                0.84138,                 0.9017,                0.73442,                0.86162,                 0.5682,                 1.1234,                0.00604,                0.00604,                0.00604
                    122,                0.89303,                0.70721,                 1.1499,                0.89869,                0.84257,                0.90377,                0.73699,                0.85849,                0.56799,                 1.1233,               0.006007,               0.006007,               0.006007
                    123,                0.89264,                 0.6976,                 1.1486,                0.89797,                0.83702,                0.90354,                0.73739,                0.85358,                0.56688,                  1.121,               0.005974,               0.005974,               0.005974
                    124,                0.87646,                0.68331,                 1.1364,                0.89174,                0.85098,                0.90519,                0.73983,                 0.8489,                0.56587,                 1.1187,               0.005941,               0.005941,               0.005941
